0,1,2,3,4,5,6,7,8,9
881,0,4,4,4,15,4,2,22,0
0,1086,10,6,1,17,1,5,37,0
7,6,834,21,22,8,24,12,48,0
2,3,28,886,0,56,3,8,50,2
4,1,10,2,873,9,6,3,31,9
9,7,10,34,10,751,11,1,79,9
8,3,9,1,6,25,944,0,17,0
8,6,17,10,17,5,0,946,13,7
1,8,11,22,4,67,3,3,857,2
7,4,21,30,132,69,0,102,126,501
