0,1,2,3,4,5,6,7,8,9
885,0,7,7,4,25,5,2,1,0
0,1102,14,10,1,22,1,4,9,0
8,6,855,26,23,14,28,13,9,0
2,3,31,908,0,68,3,10,9,4
4,1,9,5,888,19,8,3,4,7
12,13,9,32,12,813,10,2,12,6
7,3,10,4,8,31,950,0,0,0
8,8,22,14,16,9,0,946,1,5
2,29,35,77,4,280,10,7,532,2
7,4,25,42,182,139,0,112,4,477
