0,1,2,3,4,5,6,7,8,9
842,0,3,10,3,18,7,1,52,0
1,1067,5,5,0,20,3,2,59,1
10,18,694,58,24,10,34,15,114,5
3,7,12,874,1,50,10,4,74,3
2,1,2,11,839,23,13,4,42,11
9,7,6,68,30,650,15,1,125,10
1,2,6,2,6,30,945,2,18,1
19,12,13,17,31,8,1,888,26,14
1,7,9,33,10,38,7,2,867,4
11,2,10,49,198,63,1,105,118,435
