0,1,2,3,4,5,6,7,8,9
883,0,7,17,9,5,12,3,0,0
0,1107,24,12,1,6,2,8,1,2
5,10,833,35,32,3,35,15,6,8
7,3,33,935,2,18,9,18,2,11
1,1,12,10,831,9,15,6,0,63
26,16,28,119,26,625,26,8,15,32
6,3,21,2,21,12,944,1,0,3
8,2,25,10,16,0,1,928,1,38
2,37,128,176,10,153,7,33,343,89
6,2,32,35,61,9,0,43,0,804
