0,1,2,3,4,5,6,7,8,9
878,0,6,9,2,28,8,3,1,1
0,1102,20,13,5,13,3,3,3,1
25,18,816,33,22,11,28,14,10,5
12,4,41,901,3,49,4,13,2,9
5,1,7,5,858,25,18,8,1,20
18,16,15,49,27,755,19,4,8,10
8,5,9,4,6,22,957,1,0,1
9,9,23,7,10,10,1,930,1,29
2,37,68,93,20,384,10,13,334,17
10,4,16,28,104,70,2,69,2,687
