C,epsilon,lr,batch_size,epochs,rounds,order,precision
50,0.1,0.3,60000,50,1,1,0.6025
50,0.2,0.3,60000,50,1,1,0.708
50,0.30000000000000004,0.3,60000,50,1,1,0.7667
50,0.4,0.3,60000,50,1,1,0.782
50,0.5,0.3,60000,50,1,1,0.7718
50,0.6000000000000001,0.3,60000,50,1,1,0.8148
50,0.7000000000000001,0.3,60000,50,1,1,0.8241
50,0.8,0.3,60000,50,1,1,0.7939
50,0.9,0.3,60000,50,1,1,0.8218
50,1.0,0.3,60000,50,1,1,0.8233
