0,1,2,3,4,5,6,7,8,9
877,0,9,3,1,21,9,5,11,0
0,1096,18,5,0,21,1,2,14,6
11,18,826,15,15,27,22,19,22,7
5,6,51,783,2,127,2,10,28,24
8,1,17,1,715,19,11,9,13,154
16,8,18,22,20,722,11,5,54,45
19,4,16,5,18,31,897,5,13,5
12,7,29,2,7,8,1,857,5,101
6,20,27,36,17,176,4,11,657,24
11,1,14,9,35,25,0,37,14,846
