0,1,2,3,4,5,6,7,8,9
863,0,10,7,3,9,15,10,18,1
0,1035,29,7,0,17,2,15,57,1
8,21,745,37,15,14,32,29,78,3
16,21,29,770,0,71,23,23,78,7
8,0,8,2,727,42,26,27,56,52
52,17,21,49,18,606,27,26,96,9
41,2,18,7,13,17,861,7,42,5
11,6,35,4,11,3,7,889,40,23
22,19,14,27,7,77,12,18,772,10
18,5,17,17,95,27,12,124,181,496
